sequence,driver,windows,true_mean_dx_m,zero_euc_err_m,oxiod_euc_err_m,vnbd_euc_err_m,zero_rmse_m,oxiod_rmse_m,vnbd_rmse_m,error_reduction_vs_zero_pct,error_reduction_vs_oxiod_pct
m,Driver B,10596,18.620695114135742,18.805253982543945,18.283510208129883,7.851030349731445,12.506514549255371,12.126550674438477,5.7779035568237305,58.25086777865805,57.059501920804934
vfa01,Driver E,1147,31.002731323242188,31.051240921020508,30.379440307617188,8.66541862487793,19.548349380493164,19.12162208557129,6.1276984214782715,72.09316482095319,71.4760425566326
vfa02,Driver E,6749,45.782615661621094,45.8375129699707,45.03640365600586,14.93648624420166,27.438386917114258,26.971933364868164,9.37164306640625,67.41427429977075,66.8346381334341
vw14c,Driver E,1581,20.455034255981445,20.483440399169922,20.04694938659668,7.584392070770264,15.3472318649292,14.992392539978027,5.750521183013916,62.97305568317705,62.16685180119643
vw15,Driver E,137,0.04209329932928085,0.08919255435466766,1.4375008344650269,3.2531752586364746,0.061129968613386154,0.8311662077903748,2.30704927444458,-3547.361915099394,-126.30771270801802
vw16a,Driver E,586,27.315885543823242,27.338666915893555,26.678621292114258,7.45974588394165,17.37630844116211,16.944580078125,5.64537239074707,72.71357119609637,72.03848803781092
vw16b,Driver E,111,31.732378005981445,31.750450134277344,30.914810180664062,6.254940509796143,19.257976531982422,18.79181671142578,4.518247604370117,80.29967926960695,79.76717154903203
vw17,Driver E,31,31.526832580566406,31.528160095214844,30.669448852539062,4.044050216674805,18.283823013305664,17.790912628173828,2.7541213035583496,87.17321212382264,86.81407600078211
y1,Driver D,7026,15.730916976928711,15.871819496154785,15.395037651062012,14.787097930908203,10.879166603088379,10.513449668884277,10.299878120422363,6.834260971209847,3.948932986934725
