baseline_name,outage_duration_s,distance_travelled_m,position_rmse_m,endpoint_error_m,drift_percent_endpoint
BASELINE 1: Pure INS,10.0,149.66851611251082,1.1811093378980135,1.6332406007993965,1.0912385872601522
BASELINE 2: INS + EKF,10.0,149.66851611251082,0.4522086404416578,0.3942658205850928,0.2634260236058665
BASELINE 3: ML Only,10.0,149.66851611251082,85.9568713544521,149.0799272029144,99.60673832754917
BASELINE 4: ML + INS,10.0,149.66851611251082,72.89913074723448,126.47750653717783,84.50508485171355
BASELINE 5: ML + INS + EKF,10.0,149.66851611251082,87.58213797104754,150.9544818755342,100.85920926887302
BASELINE 6: ML + INS + EKF + NHC,10.0,149.66851611251082,87.58213822612262,150.954482903776,100.85920995588577
BASELINE 7: ML + INS + EKF + NHC + ZUPT,10.0,149.66851611251082,87.63216256923751,151.03796448559953,100.91498760638427
BASELINE 1: Pure INS,30.0,443.5222148692547,2.4722071722720655,4.374108265971178,0.986220784287122
BASELINE 2: INS + EKF,30.0,443.5222148692547,28.72360742771444,51.391626619102624,11.58715953703746
BASELINE 3: ML Only,30.0,443.5222148692547,253.1504670496478,441.8908742167516,99.63218513124895
BASELINE 4: ML + INS,30.0,443.5222148692547,215.43897547571046,376.1100473876619,84.80072356658276
BASELINE 5: ML + INS + EKF,30.0,443.5222148692547,254.26950149635655,443.1929931633988,99.92577108996605
BASELINE 6: ML + INS + EKF + NHC,30.0,443.5222148692547,254.51254835144465,443.4736642579681,99.98905339808043
BASELINE 7: ML + INS + EKF + NHC + ZUPT,30.0,443.5222148692547,254.7715266397274,443.8610191693007,100.0763894769388
BASELINE 1: Pure INS,60.0,866.0196957275895,1.4774879964120509,2.6451975263673293,0.3054431139865656
BASELINE 2: INS + EKF,60.0,866.0196957275895,175.16553755347485,342.73213004437065,39.57555835452715
BASELINE 3: ML Only,60.0,866.0196957275895,473.4780134179327,802.6879475036225,92.68703142244836
BASELINE 4: ML + INS,60.0,866.0196957275895,402.544687269669,682.3828409187862,78.79530272639815
BASELINE 5: ML + INS + EKF,60.0,866.0196957275895,474.21447853943033,803.3478056286389,92.76322577787373
BASELINE 6: ML + INS + EKF + NHC,60.0,866.0196957275895,1921.6623095287573,5595.513365725807,646.1184882203767
BASELINE 7: ML + INS + EKF + NHC + ZUPT,60.0,866.0196957275895,582.9487056706004,1115.2970050269118,128.7842540451567
BASELINE 1: Pure INS,120.0,1321.3579154749996,3.3757245630285033,7.751694410382971,0.5866460797335448
BASELINE 2: INS + EKF,120.0,1321.3579154749996,503.10310836812334,880.3330951393549,66.62336410365349
BASELINE 3: ML Only,120.0,1321.3579154749996,642.823923752788,850.2878793398577,64.34955051782451
BASELINE 4: ML + INS,120.0,1321.3579154749996,546.7101248431906,723.6425125931084,54.7650643416303
BASELINE 5: ML + INS + EKF,120.0,1321.3579154749996,643.6615537696935,851.0342065395331,64.40603235298323
BASELINE 6: ML + INS + EKF + NHC,120.0,1321.3579154749996,4850.852150475052,7586.598485230187,574.1516659778716
BASELINE 7: ML + INS + EKF + NHC + ZUPT,120.0,1321.3579154749996,1187.9426579131211,1607.0262085125864,121.61929706493606
